index,title,description,figure,references,definition,keywords,prediction,object
11.1.2.2,data analysis,data analysis techniques that can be used for this process includes but are not limited to a stakeholder analysis () to determine the risk appetite of project stakeholders.,[],['section 13.1.2.3'],"

Data analysis is the process of examining, transforming and organizing data to gain useful insights and knowledge.","['data analysis techniques', 'determine the risk appetite', 'risk appetite of project', 'appetite of project stakeholders', 'data analysis', 'process includes', 'determine the risk', 'risk appetite', 'appetite of project', 'analysis techniques']",,
11.1.2.3,meetings,"the risk management plan may be developed as part of the project kick-off meeting or a specific planning meeting may be held. attendees may include the project manager, selected project team members, key stakeholders, or team members who are responsible to manage the risk management process on the project. others outside the organization may also be invited, as needed, including customers, sellers, and regulators. a skilled facilitator can help participants remain focused on the task, agree on key aspects of the risk approach, identify and overcome sources of bias, and resolve any disagreements that may arise. plans for conducting risk management activities are defined in these meetings and documented in the risk management plan ().not for distribution, sale or reproduction.",[],['section 11.1.3.1'],"

Definition of 'Meetings': a gathering of individuals to discuss and make plans for risk management activities which are defined and documented in the risk management plan.","['risk management plan', 'risk management', 'specific planning meeting', 'selected project team members', 'project kick-off meeting', 'risk management process', 'developed as part', 'specific planning', 'project team members', 'selected project team']",,
11.1.3,plan risk management: outputs,,[],[],"Plan Risk Management: Outputs are the documents, plans, tools, techniques, and reports that are created as part of the risk management planning process. These outputs help to identify the risks, analyze their potential impact, prioritize their treatment, and develop strategies for responding to them.",[],,
11.1.3.1,risk management plan,"the risk management plan is a component of the project management plan that describes how risk management activities will be structured and performed. the risk management plan may include some or all of the following elements:  risk strategy. describes the general approach to managing risk on this project.  methodology. defines the specific approaches, tools, and data sources that will be used to perform risk management on the project.  roles and responsibilities. defines the lead, support, and risk management team members for each type of activity  the risk management plan, and clarifies their responsibilities.  funding. identifies the funds needed to perform activities related to project risk management. establishes protocols for the application of contingency and management reserves.  timing. defines when and how often the project risk management processes will be performed throughout the project life cycle, and establishes risk management activities for inclusion into the project schedule.  risk categories. provide a means for grouping individual project risks. a common way to structure risk categories is with a risk breakdown structure (rbs), which is a hierarchical representation of potential sources of risk (example in ). an rbs helps the project team consider the full range of sources from which individual project risks may arise. this can be useful when identifying risks or when categorizing identified risks. the organization may have a generic rbs to be used for all projects, or there may be several rbs frameworks for different types of projects, or the project may develop a tailored rbs. where an rbs is not used, an organization may use a custom risk categorization framework, which may take the form of a simple list of categories or a structure based on project objectives.not for distr reproduction.  stakeholder risk appetite. the risk appetites of key stakeholders on the project are recorded in the risk management plan, as they inform the details of the plan risk management process. in particular, stakeholder risk appetite should be expressed as measurable risk thresholds around each project objective. these thresholds will determine the acceptable level of overall project risk exposure, and they are also used to inform the definitions of probability and impacts to be used when assessing and prioritizing individual project risks.  definitions of risk probability and impacts. definitions of risk probability and impact levels are specific to the project context and reflect the risk appetite and thresholds of the organization and key stakeholders. the project may generate specific definitions of probability and impact levels or it may start with general definitions provided by the organization. the number of levels reflects the degree of detail required for the project risk management process, with more levels used for a more detailed risk approach (typically five levels), and fewer for a simple process (usually three). table 11-1 provides an example of definitions of probability and impacts against three project objectives. these scales can be used to evaluate both threats and opportunities by interpreting the impact definitions as negative for threats (delay, additional cost, and performance shortfall) and positive for opportunities (reduced time or cost, and performance enhancement).not for distribuction.  probability and impact matrix.   prioritization rules may be specified by the organization in advance of the project and be included in organizational process assets, or they may be tailored to the specific project. opportunities and threats are represented in a common probability and impact matrix using positive definitions of impact for opportunities and negative impact definitions for threats. descriptive terms (such as very high, high, medium, low, and very low) or numeric values can be used for probability and impact. where numeric values are used, these can be multiplied to give a probability-impact score for each risk, which allows the relative priority of individual risks to be evaluated within each priority level. an example probability and impact matrix is presented in , which also shows a possible numeric risk scoring scheme.not for distributio  reporting formats. reporting formats define how the outcomes of the project risk management process will be documented, analyzed, and communicated. this section of the risk management plan describes the content and format of the risk register and the risk report, as well as any other required outputs from the project risk management processes.  tracking. tracking documents how risk activities will be recorded and how risk management processes will be audited.ction.","['https://i.ibb.co/1qNCnNK/figure-11-3.png', 'https://i.ibb.co/r6K1WTL/figure-11-4.png', 'https://i.ibb.co/yfsJjrj/figure-11-5.png']","['figure 11-4', 'section 11.3.2.6.', 'figure 11-5']","

Risk management plan is a component of the project management plan that describes how risk management activities will be structured and performed, and may include elements such as risk strategy, methodology, roles and responsibilities, funding, timing, risk categories, stakeholder risk appetite, definitions of risk probability and impacts, probability and impact matrix, reporting formats, and tracking.","['risk management', 'risk', 'project risk management', 'project', 'risk management plan', 'management', 'project risk', 'management plan', 'project risk management process', 'risk management process']",has part,risk register
11.2,identify risks,"identify risks is the process of identifying individual project risks as well as sources of overall project risk, and documenting their characteristics. the key benefit of this process is the documentation of existing individual project risks and the sources of overall project risk. it also brings together information so the project team can respond appropriately to identified risks. this process is performed throughout the project. the inputs, tools and techniques, and outputs of the process  in .  depicts the data flow diagram for the process.not for distrnot fornot for distribution, sale or reproduction. identify risks considers both individual project risks and sources of overall project risk. participants in risk identification activities may include the following: project manager, project team members, project risk specialist (if assigned), customers, subject matter experts from outside the project team, end users, other project managers, operations managers, stakeholders, and risk management experts within the organization. while these personnel are often key participants for risk identification, all project stakeholders should be encouraged to identify individual project risks. it is particularly important to involve the project team so they can develop and maintain a sense of ownership and responsibility for identified individual project risks, the level of overall project risk, and associated risk response actions. when describing and recording individual project risks, a consistent format should be used for risk statements to ensure that each risk is understood clearly and unambiguously in order to support effective analysis and risk response development. risk owners for individual project risks may be nominated as part of the identify risks process, and will be confirmed during the perform qualitative risk analysis process. preliminary risk responses may also be identified and recorded and will be reviewed and confirmed as part of the plan risk responses process. identify risks is an iterative process, since new individual project risks may emerge as the project progresses through its life cycle and the level of overall project risk will also change. the frequency of iteration and participation in each risk identification cycle will vary by situation, and this will be defined in the risk management plan.","['https://i.ibb.co/1nk0TjD/figure-11-6.png', 'https://i.ibb.co/2kdtNnt/figure-11-7.png']","['figure 11-6', 'figure 11-7']","

Definition: Identify risks is the process of identifying individual project risks as well as sources of overall project risk, and documenting their characteristics.","['individual project risks', 'project', 'project risks', 'individual project', 'identifying individual project risks', 'risk', 'risks', 'project team', 'identifying individual project', 'existing individual project risks']",facet of,project risk
11.2.1,identify risks: inputs,,[],[],"""Identify risks: inputs are all of the information used to assess the potential risks in a project such as information sources, risk assessment methods, and criteria for assessing risk levels.""

Identify risks: inputs refers to the information used to assess the potential risks in a project, which includes information sources, risk assessment methods, and criteria for assessing risk levels.",[],,
11.2.1.1,project management plan,"  project management plan components include but are not limited to:  requirements management plan.   the requirements management plan may indicate project objectives that are particularly at risk.  schedule management plan.   the schedule management plan may identify areas that are subject to uncertainty or ambiguity.  cost management plan.   the cost management plan may identify areas that are subject to uncertainty or ambiguity.  quality management plan.   the quality management plan may identify areas that are subject to uncertainty or ambiguity, or where key assumptions have been made that might give rise to risk.  resource management plan.   the resource management plan may identify areas that are subject to uncertainty or ambiguity, or where key assumptions have been made that might give rise to risk.not for distribution, sale or reproduction.  risk management plan.   the risk management plan provides information on risk-related roles and responsibilities, indicates how risk management activities are included in the budget and schedule, and describes categories of risk, which may be expressed as a risk breakdown structure ().  scope baseline.   the scope baseline includes deliverables and criteria for their acceptance, some of which might give rise to risk. it also contains the wbs, which can be used as a framework to structure risk identification techniques.  schedule baseline.   the schedule baseline may be reviewed to identify milestones and deliverable due dates that are subject to uncertainty or ambiguity, or where key assumptions have been made that might give rise to risk.  cost baseline.   the cost baseline may be reviewed to identify costs or funding requirements that are subject to uncertainty or ambiguity, or where key assumptions have been made that might give rise to risk.",[],"['section 4.2.3.1.', 'section 5.1.3.2.', 'section 6.1.3.1.', 'section 7.1.3.1.', 'section 8.1.3.1.', 'section 9.1.3.1.', 'section 11.1.3.1.', 'figure 11-4', 'section 5.4.3.1.', 'section 6.5.3.1.', 'section 7.3.3.1.']","

Definition of the concept 'project management plan': A plan that includes components such as a requirements management plan, schedule management plan, cost management plan, quality management plan, resource management plan, risk management plan, scope baseline, schedule baseline, and cost baseline, which may indicate areas that are subject to uncertainty or ambiguity or where key assumptions have been made that might give rise to risk.","['management plan', 'plan', 'management', 'project management plan components', 'uncertainty or ambiguity', 'requirements management plan', 'subject to uncertainty', 'risk', 'management plan may identify', 'management plan components']",,
11.2.1.2,project documents,"project documents that can be considered as inputs for this process include but are not limited to:  assumption log.   assumptions and constraints recorded in the assumption log may give rise to individual project risks and may also influence the level of overall project risk.  cost estimates.   cost estimates provide quantitative assessments of project costs, ideally expressed as a range, indicating the degree of risk, where a structured review of the documents may indicate that the current estimate is insufficient and poses a risk to the project.  duration estimates.   duration estimates provide quantitative assessments of project durations, ideally expressed as a range, indicating the degree of risk, where a structured review of the documents may indicate that the current estimate is insufficient and poses a risk to the project.  issue log.   issues recorded in the issue log may give rise to individual project risks and may also influence the level of overall project risk.  lessons learned register.   lessons learned about risk identified from earlier phases of the project are reviewed to determine whether similar risks might recur during the remainder of the project.  requirements documentation.   requirements documentation lists the project requirements and allows the team to identify those that could be at risk.not for distribution, sale or reproduction.  resource requirements.   resource requirements provide quantitative assessments of project resource requirements, ideally expressed as a range, indicating the degree of risk, where a structured review of the documents may indicate that the current estimate is insufficient and poses a risk to the project.  stakeholder register.   the stakeholder register indicates which individuals or groups might participate in identifying risks to the project. it also details those individuals who are available to act as risk owners.",[],"['section 4.1.3.2.', 'section 7.2.3.1.', 'section 6.4.3.1.', 'section 4.3.3.3.', 'section 4.4.3.1.', 'section 5.2.3.1.', 'section 9.2.3.1.', 'section 13.1.3.1.']","

Project documents are documents related to a project that can be used as inputs to analyze and identify risks. Examples of project documents include but are not limited to: assumption log, cost estimates, duration estimates, issue log, lessons learned register, requirements documentation, resource requirements, and stakeholder register.","['project', 'risk', 'current estimate', 'assumption log', 'individual project risks', 'requirements', 'estimates provide quantitative assessments', 'estimates', 'project risks', 'considered as inputs']",,
11.2.1.3,agreements,"  if the project requires external procurement of resources, the agreements may have information such as milestone dates, contract type, acceptance criteria, and awards and penalties that can present threats or opportunities.",[],['section 12.2.3.2.'],"

Agreements: documents that contain information such as milestone dates, contract type, acceptance criteria, and awards and penalties.","['project requires external procurement', 'external procurement of resources', 'present threats or opportunities', 'project requires external', 'requires external procurement', 'contract type', 'acceptance criteria', 'procurement of resources', 'milestone dates', 'threats or opportunities']",,
11.2.1.4,procurement documentation,"  if the project requires external procurement of resources, the initial procurement documentation should be reviewed as procuring goods and services from outside the organization may increase or decrease overall project risk and may introduce additional individual project risks. as the procurement documentation is updated throughout the project, the most up to date documentation can be reviewed for risks. for example, seller performance reports, approved change requests and information on inspections.",[],['section 12.3.1.4.'],"

Procurement documentation is the set of documents related to the procurement of goods and services from outside the organization, such as seller performance reports, approved change requests, and information on inspections.","['introduce additional individual project', 'additional individual project risks', 'project requires external procurement', 'procuring goods and services', 'introduce additional individual', 'project requires external', 'additional individual project', 'requires external procurement', 'individual project risks', 'initial procurement documentation']",,
11.2.1.5,enterprise environmental factors,"the enterprise environmental factors that can influence the identify risks process include but are not limited to:  published material, including commercial risk databases or checklists,  academic studies,  benchmarking results, and  industry studies of similar projects.",[],[],"

Enterprise environmental factors are the published material, including commercial risk databases or checklists, academic studies, benchmarking results, and industry studies of similar projects that can influence the identify risks process.","['including commercial risk databases', 'identify risks process include', 'including commercial risk', 'risk databases or checklists', 'enterprise environmental factors', 'influence the identify risks', 'identify risks process', 'risks process include', 'commercial risk databases', 'studies of similar projects']",,
11.2.1.6,organizational process assets,"the organizational process assets that can influence the identify risks process include but are not limited to:  project files, including actual data,  organizational and project process controls,  risk statement formats, and  checklists from previous similar projects.not for distribution, sale or reproduction.",[],[],"

Organizational process assets are project files, organizational and project process controls, risk statement formats, and checklists from previous similar projects.","['identify risks process include', 'including actual data', 'similar projects.not for distribution', 'risk statement formats', 'project process controls', 'checklists from previous similar', 'previous similar projects.not', 'influence the identify risks', 'organizational process assets', 'identify risks process']",,
11.2.2,identify risks: tools and techniques,,[],[],"
""Identify Risks: Tools and Techniques: Refers to processes and techniques used to anticipate and quantify risk to ensure its effective management. Leveraging data collection, qualitative and quantitative analysis, risk identification tools and techniques are used to stratify and prioritize threats by the level of associated consequence and probability.""

Identify Risks: Tools and Techniques refers to processes and techniques used to anticipate and quantify risk to ensure its effective management, such as leveraging data collection, qualitative and quantitative analysis, and",[],,
11.2.2.1,expert judgment,"  expertise should be considered from individuals or groups with specialized knowledge of similar projects or business areas. such experts should be identified by the project manager and invited to consider all aspects of individual project risks as well as sources of overall project risk, based on their previous experience and areas of expertise. the experts bias should be taken into account in this process.",[],['section 4.1.2.1.'],"

Expert judgment is a process in which individuals or groups with specialized knowledge of similar projects or business areas are identified by the project manager and invited to consider all aspects of individual project risks as well as sources of overall project risk, based on their previous experience and areas of expertise.","['groups with specialized knowledge', 'specialized knowledge of similar', 'knowledge of similar projects', 'groups with specialized', 'specialized knowledge', 'knowledge of similar', 'similar projects or business', 'business areas', 'similar projects', 'individual project risks']",,
11.2.2.2,data gathering,"data-gathering techniques that can be used for this process include but are not limited to:  brainstorming. the goal of brainstorming () is to obtain a comprehensive list of individual project risks and sources of overall project risk. the project team usually performs brainstorming, often with a multidisciplinary set of experts who are not part of the team. ideas are generated under the guidance of a facilitator, either in a free-form brainstorm session or one that uses more structured techniques. categories of risk, such as in a risk breakdown structure, can be used as a framework. particular attention should be paid to ensuring that risks identified through brainstorming are clearly described, since the technique can result in ideas that are not fully formed.  checklists. a checklist is a list of items, actions, or points to be considered. it is often used as a reminder. risk checklists are developed based on historical information and knowledge that has been accumulated from similar projects and from other sources of information. they are an effective way to capture lessons learned from similar completed projects, listing specific individual project risks that have occurred previously and that may be relevant to this project. the organization may maintain a risk checklist based on its own completed projects or may use generic risk checklists from the industry. while a checklist may be quick and simple to use, it is impossible to build an exhaustive one, and care should be taken to ensure the checklist is not used to avoid the effort of proper risk identification. the project team should also explore items that do not appear on the checklist. additionally, the checklist should be reviewed from time to time to update new information as well as remove or archive obsolete information.  interviews. individual project risks and sources of overall project risk can be identified by interviewing experienced project participants, stakeholders, and subject matter experts. interviews () should be conducted in an environment of trust and confidentiality to encourage honest and unbiased contributions.not for distribution, sale or reproduction.",[],"['section 4.1.2.2', 'section 5.2.2.2']","

Data gathering is the process of obtaining information and data on particular topics or sources. It typically involves using techniques such as brainstorming, checklists, and interviews to gain insight into various aspects of a project.","['project', 'risk', 'process include', 'checklist', 'brainstorming', 'individual project risks', 'project risks', 'risks', 'individual project', 'data-gathering techniques']",subclass of,data-gathering
11.2.2.3,data analysis,"data analysis techniques that can be used for this process include but are not limited to:  root cause analysis. root cause analysis () is typically used to discover the underlying causes that lead to a problem, and develop preventive action. it can be used to identify threats by starting with a problem statement (for example, the project might be delayed or over budget) and exploring which threats might result in that problem occurring. the same technique can be used to find opportunities by starting with a benefit statement (for example, early delivery or under budget) and exploring which opportunities might result in that benefit being realized.  assumption and constraint analysis. every project and its project management plan are conceived and developed based on a set of assumptions and within a series of constraints. these are often already incorporated in the scope baseline and project estimates. assumption and constraint analysis explores the validity of assumptions and constraints to determine which pose a risk to the project. threats may be identified from the inaccuracy, instability, inconsistency, or incompleteness of assumptions. constraints may give rise to opportunities through removing or relaxing a limiting factor that affects the execution of a project or process.  swot analysis. this technique examines the project from each of the strengths, weaknesses, opportunities, and threats (swot) perspectives. for risk identification, it is used to increase the breadth of identified risks by including internally generated risks. the technique starts with the identification of strengths and weaknesses of the organization, focusing on either the project, organization, or the business area in general. swot analysis then identifies any opportunities for the project that may arise from strengths, and any threats resulting from weaknesses. the analysis also examines the degree to which organizational strengths may offset threats and determines if weaknesses might hinder opportunities.  document analysis.   risks may be identified from a structured review of project documents, including, but not limited to, plans, assumptions, constraints, previous project files, contracts, agreements, and technical documentation. uncertainty or ambiguity in project documents, as well as inconsistencies within a document or between different documents, may be indicators of risk on the project.not for distribution, sale or reproduction.",[],"['section 8.2.2.2', 'section 5.2.2.3.']","

Data analysis is a process of inspecting, cleaning, transforming, and modeling data to gain useful insights and make better decisions. It involves data exploration, initial hypothesis, data collection, data cleansing and validation, pattern recognition, and various techniques such as Root Cause Analysis, Assumption and Constraint Analysis, SWOT Analysis, and Document Analysis.","['project', 'analysis', 'threats', 'opportunities', 'assumptions', 'data analysis techniques', 'constraints', 'data analysis', 'problem', 'constraint analysis']",,
